Gene stable ID,Gene name
ENSGACG00000020920,
ENSGACG00000020921,
ENSGACG00000020922,
ENSGACG00000020923,
ENSGACG00000020924,
ENSGACG00000020925,mt-nd1
ENSGACG00000020926,
ENSGACG00000020927,
ENSGACG00000020928,
ENSGACG00000020929,mt-nd2
ENSGACG00000020930,
ENSGACG00000020931,
ENSGACG00000020942,COX3
ENSGACG00000020943,
ENSGACG00000020944,mt-nd3
ENSGACG00000020945,
ENSGACG00000020946,ND4L
ENSGACG00000020947,mt-nd4
ENSGACG00000020948,
ENSGACG00000020949,
ENSGACG00000020950,
ENSGACG00000020951,mt-nd5
ENSGACG00000020952,mt-nd6
ENSGACG00000020953,
ENSGACG00000020954,mt-cyb
ENSGACG00000020955,
ENSGACG00000020956,
